P2W,P2A,P2D,P1W,P1A,P1D,N1W,N1A,N1D,N2W,N2A,N2D,FW,FA,FD
"by","IN|RP|IN_1","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","Tudor","NP","NP","amount","NN|VB","NN"
"this","DT|QL","DT","is","BEZ|NC","BEZ","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","part","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","tennis","NN","NN","&comma;","SCOM","SCOM","which","WDTR|WDT","WDTR","court","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","his","PPG|PPGG","PPG","&period;","SPER|IN","SPER","<O>","<O>","<O>","court","NN|VB","NN"
"its","PPG","PPG","upper","JJB","JJB","faced","VBN|VBD","VBN","with","IN|IN_2|RI","IN","part","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","side","NN|VB","NN","&period;","SPER|IN","SPER","park","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","park","NN|VB","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","side","NN|VB","NN"
"&comma;","SCOM","SCOM","tennis","NN","NN","which","WDTR|WDT","WDTR","stood","VBD|VBN","VBD","court","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","ground","NN|JJ|VBN","NN","&comma;","SCOM","SCOM","retains","VBZ","VBZ","floor","NN|VB","NN"
"smaller","JJR","JJR","tennis","NN","NN","&comma;","SCOM","SCOM","was","BEDZ","BEDZ","court","NN|VB","NN"
"in","IN|RP|RB_1","IN","this","DT|QL","DT","of","IN|RB_1|IN_3","IN","Whitehall","NP","NP","part","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","upper","JJB","JJB","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","part","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","these","DTS","DTS","line","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","lower","JJR|VB|RBR","JJR","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","part","NN|VB","NN"
"Passage","NPL","NPL","by","IN|RP|IN_1","IN","of","IN|RB_1|IN_3","IN","its","PPG","PPG","reason","NN|VB","NN"
"in","IN|RP|RB_1","IN","fair","JJ|NN|RB","JJ","though","CS|CS_2|RB","CS","cluttered","JJ|VBN","VBN","shape","NN|VB","NN"
"Treasury","NP","NP","offices","NNS","NNS","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","part","NN|VB","NN"
"small","JJ|NN","JJ","tennis","NN","NN","overlooks","VBZ","VBZ","Treasury","NP","NP","court","NN|VB","NN"
"small","JJ|NN","JJ","tennis","NN","NN","and","CC|RB_1|RB_2","CC","the","ATI|RB_2|NC","ATI","court","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","original","JJ|NN","JJ","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","estimate","NN|VB","NN"
"that","CS|DT|WPR","CS","that","CS|DT|WPR","DT","may","MD|NN|RB_1","MD","be","BE|RB_2","BE","figure","NN|VB","NN"
"accused","VBN|VBD|JJ","VBN","of","IN|RB_1|IN_3","IN","robbery","NN","NN","&period;","SPER|IN","SPER","bank","NN|VB","NN"
"before","IN|CS|RI","IN","the","ATI|RB_2|NC","ATI","were","BED","BED",":","SCOL|IN","SCOL","court","NN|VB","NN"
"<O>","<O>","<O>","&lsquo;","SQSO","SQSO","heavily","RB","RB","guarded","VBN|VBD|JJ","VBN","court","NN|VB","NN"
"on","IN|RP|RB_3","IN","one","CD1|PN_2|PPLS_1","CD1","and","CC|RB_1|RB_2","CC","Powell","NP","NP","side","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","other","AP|PPLS_2","AP","&period;","SPER|IN","SPER","<O>","<O>","<O>","side","NN|VB","NN"
"&lsquo;","SQSO","SQSO","this","DT|QL","DT","is","BEZ|NC","BEZ","very","QL|AP","QL","court","NN|VB","NN"
"in","IN|RP|RB_1","NNU","thick","JJ|RB|NN","JJ","wall","NN","NN","&period;","SPER|IN","SPER","side","NN|VB","NN"
"before","IN|CS|RI","IN","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","court","NN|VB","NN"
"been","BEN","BEN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","53","CD","CD","decrease","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","shops","NNS","NNS","number","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","restaurants","NNS","NNS","number","NN|VB","NN"
"into","IN","IN","an","AT","AT","heard","VBN|VBD","VBN","by","IN|RP|IN_1","IN","appeal","NN|VB","NN"
"against","IN|IN_2|RI","IN","a","AT|AP_1|RB_1","AT","imposed","VBN|JJ|VBD","VBN","by","IN|RP|IN_1","IN","condition","NN|VB","NN"
"in","IN|RP|RB_1","IN","a","AT|AP_1|RB_1","AT","for","IN|CS|IN_2","IN","rebuilding","NN|VBG","VBG","project","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","car","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","park","NN|VB","NN"
"an","AT","AT","office","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","block","NN|VB","NN"
"Tring","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","over","IN|RP|RB","IN","property","NN","NN","campaign","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","final","JJ|NN","JJ","compares","VBZ|NNS","NNS","with","IN|IN_2|RI","IN","figure","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","lengthy","JJ","JJ","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","campaign","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","nominal","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","sum","NN|VB","NN"
"national","JJ|NN","JJ","health","NN","NN","in","IN|RP|RB_1","IN","1948","CD","CD","act","NN|VB","NN"
"valuer","NN","NN","&apos;s","GENM|BEZ|HVZ","GENM","of","IN|RB_1|IN_3","IN","&pound;","NNU","NNU","figure","NN|VB","NN"
"five-bedroomed","JJ","JJ","detached","JJ|VBN","JJ","&comma;","SCOM","SCOM","two","CD","CD","house","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","two","CD","CD","blocks","NNS|VBZ","NNS","into","IN","IN","ward","NN|VB","NN"
"high","JJ|RB|NC","JJ","landscape","NN","NN","&comma;","SCOM","SCOM","which","WDTR|WDT","WDTR","value","NN|VB","NN"
"with","IN|IN_2|RI","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","other","AP|PPLS_2","AP","number","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","council","NN","NN","member","NN","NN","press","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","on","IN|RP|RB_3","IN","&lsquo;","SQSO","SQSO","clash","NN|VB","NN"
"from","IN|IN_2|RB_2","IN","the","ATI|RB_2|NC","ATI","council","NN","NN","&period;","SPER|IN","SPER","press","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","council","NN","NN","&comma;","SCOM","SCOM","press","NN|VB","NN"
"to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","press","NN|VB","NN"
"<O>","<O>","<O>","Eton","NP","NP","relief","NN","NN","&period;","SPER|IN","SPER","rate","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","later","RBR|JJR","JJR","&period;","SPER|IN","SPER","<O>","<O>","<O>","stage","NN|VB","NN"
"cases","NNS","NNS","any","DTI|RB","DTI","of","IN|RB_1|IN_3","IN","loss","NN","NN","effect","NN|VB","NN"
"up","RP|IN|JJ_2","RP","by","IN|RP|IN_1","IN","deficiency","NN","NN","grant","NN|VB","NN","rate","NN|VB","NN"
"rate","NN|VB","NN","deficiency","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","grant","NN|VB","NN"
"up","RP|IN|JJ_2","RP","by","IN|RP|IN_1","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","grant","NN|VB","NN"
"some","DTI|PN_1|RB","DTI","marginal","JJ","JJ","on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","effect","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","county","NN","NN","&comma;","SCOM","SCOM","so","QL|RB|PN","QL","rate","NN|VB","NN"
"be","BE|RB_2","BE","no","ATI|UH|RB","ATI","on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","effect","NN|VB","NN"
"district","NN","NN","council","NN","NN","&comma;","SCOM","SCOM","because","CS|IN_1","CS","rate","NN|VB","NN"
"loss","NN","NN","of","IN|RB_1|IN_3","IN","through","IN|RP|JJB","IN","mandatory","JJ","JJ","rate","NN|VB","NN"
"by","IN|RP|IN_1","IN","deficiency","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","grant","NN|VB","NN"
"societies","NNS","NNS","by","IN|RP|IN_1","IN","relief","NN","NN","because","CS|IN_1","CS","rate","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","for","IN|CS|IN_2","IN","a","AT|AP_1|RB_1","AT","hunt","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","a","AT|AP_1|RB_1","AT","in","IN|RP|RB_1","IN","Chambres-road","NP","NP","house","NN|VB","NN"
"<O>","<O>","<O>","no","ATI|UH|RB","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","reply","NN|VB","NN"
"14","CD","CD","saloon","NN","NN","zh2014","ZZ","ZZ","&period;","SPER|IN","SPER","number","NN|VB","NN"
"at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","in","IN|RP|RB_1","IN","Chambres-road","NP","NP","house","NN|VB","NN"
"got","VBD|VBN","VBD","no","ATI|UH|RB","ATI","and","CC|RB_1|RB_2","CC","thought","VBD|NN|VBN","VBD","reply","NN|VB","NN"
"into","IN","IN","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","house","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","a","AT|AP_1|RB_1","AT","&period;","SPER|IN","SPER","<O>","<O>","<O>","dress","NN|VB","NN"
"over","IN|RP|RB","IN","the","ATI|RB_2|NC","ATI","&comma;","SCOM","SCOM","and","CC|RB_1|RB_2","CC","floor","NN|VB","NN"
"was","BEDZ","BEDZ","no","ATI|UH|RB","ATI","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","bed","NN|VB","NN"
"&apos;s","GENM|BEZ|HVZ","GENM","first","OD|RB|RB_2","OD","on","IN|RP|RB_3","IN","British","JNP|NNPS","JNP","interview","NN|VB","NN"
"cosy","JJ","JJ","fireside","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","chat","NN|VB","NN"
"this","DT|QL","DT","pre-recorded","JJ","JJ","was","BEDZ","BEDZ","for","IN|CS|IN_2","IN","interview","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","aim","NN|VB","NN"
"week","NN","NN","&apos;s","GENM|BEZ|HVZ","GENM","is","BEZ|NC","BEZ","to","TO|IN|IN_2","TO","campaign","NN|VB","NN"
"are","BER","BER","taking","VBG|NN","VBG","and","CC|RB_1|RB_2","CC","in","IN|RP|RB_1","IN","part","NN|VB","NN"
"his","PPG|PPGG","PPG","TV","NN","NN","the","ATI|RB_2|NC","ATI","Duke","NPT|NP","NPT","interview","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","whole","JJ|NN|NC","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","project","NN|VB","NN"
"into","IN","IN","unskilled","JJ","JJ","&comma;","SCOM","SCOM","he","PP3A","PP3A","work","NN|VB","NN"
"at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","rate","NN|VB","NN"
"regardless","RB|JJ","RB","of","IN|RB_1|IN_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","age","NN|VB","NN"
"relatively","RB","RB","high","JJ|RB|NC","JJ","now","RN|CS_1|CS","RN","might","MD|NN","MD","wage","NN|VB","NN"
"using","VBG","VBG","unskilled","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","labour","NN|VB","NN"
"who","WPR|WP","WPR","started","VBD|VBN","VBD","last","AP|RB_2|VB","AP","year","NN","NN","work","NN|VB","NN"
"told","VBD|VBN|JJ","VBD","a","AT|AP_1|RB_1","AT","yesterday","NR","NR","about","IN|RB|RP","IN","court","NN|VB","NN"
"under","IN|RB|RP","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","drink","NN|VB","NN","influence","NN|VB","NN"
"influence","NN|VB","NN","of","IN|RB_1|IN_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","drink","NN|VB","NN"
"Jersey","NP","NP","royal","JJ","JJ","&comma;","SCOM","SCOM","Mrs","NPT","NPT","court","NN|VB","NN"
"<O>","<O>","<O>","what","WDT|WDT_1","WDT","is","BEZ|NC","BEZ","&pound;acking","VBG","VBG","labour","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","&apos;s","GENM|BEZ|HVZ","GENM","cash","NN|VB","NN","labour","NN|VB","NN"
"labour","NN|VB","NN","&apos;s","GENM|BEZ|HVZ","GENM","problems","NNS","NNS","were","BED","BED","cash","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","increasing","JJ|VBG","VBG","&apos;s","GENM|BEZ|HVZ","GENM","income","NN","NN","labour","NN|VB","NN"
"&apos;s","GENM|BEZ|HVZ","GENM","national","JJ|NN","JJ","at","IN|RB_1|NC","IN","Skegness","NP","NP","rally","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","party","NN|NC","NN","&apos;s","GENM|BEZ|HVZ","GENM","labour","NN|VB","NN"
"with","IN|IN_2|RI","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","support","NN|VB","NN"
"&lsquo;","SQSO","SQSO","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","money","NN","NN","amount","NN|VB","NN"
"short","JJ|RB|RB_2","JJ","of","IN|RB_1|IN_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","cash","NN|VB","NN"
"main","JJB|RB_3|NN","JJB","financial","JJ","JJ","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","support","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","party","NN|NC","NN","&dash;","SDSH","SDSH","labour","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","by","IN|RP|IN_1","IN","father","NN","NN","blow","NN|VB","NN"
"across","IN|RP","IN","the","ATI|RB_2|NC","ATI","so","QL|RB|PN","QL","hard","JJ|RB|JJ_1","RB","face","NN|VB","NN"
"&comma;","SCOM","SCOM","a","AT|AP_1|RB_1","AT","was","BEDZ","BEDZ","told","VBD|VBN|JJ","VBN","court","NN|VB","NN"
"as","CS|IN|QL","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","striking","JJ|VBG|NN","VBG","result","NN|VB","NN"
"had","HVD|HVN","HVN","a","AT|AP_1|RB_1","AT","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","bash","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","face","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","his","PPG|PPGG","PPG","was","BEDZ","BEDZ","bruised","JJ|VBN","VBN","face","NN|VB","NN"
"with","IN|IN_2|RI","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","John","NP","NP","murder","NN|VB","NN"
"&comma;","SCOM","SCOM","his","PPG|PPGG","PPG","in","IN|RP|RB_1","IN","a","AT|AP_1|RB_1","AT","partner","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","on","IN|RP|RB_3","IN","Sunday","NR","NR","house","NN|VB","NN"
"appeared","VBD|VBN","VBD","in","IN|RP|RB_1","IN","handcuffed","VBN","VBN","to","TO|IN|IN_2","IN","court","NN|VB","NN"
"covered","VBN|VBD|JJ","VBD","his","PPG|PPGG","PPG","with","IN|IN_2|RI","IN","his","PPG|PPGG","PPG","face","NN|VB","NN"
"his","PPG|PPGG","PPG","free","JJ|VB|RB","JJ","when","WRB","WRB","the","ATI|RB_2|NC","ATI","hand","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","was","BEDZ","BEDZ","told","VBD|VBN|JJ","VBN","court","NN|VB","NN"
"&rsquo;","SQSC","SQSC","a","AT|AP_1|RB_1","AT","was","BEDZ","BEDZ","told","VBD|VBN|JJ","VBN","court","NN|VB","NN"
"people","NNS|NN","NNS","on","IN|RP|RB_3","IN","&dash;","SDSH","SDSH","last","AP|RB_2|VB","AP","strike","NN|VB","NN"
"ministry","NN","NN","of","IN|RB_1|IN_3","IN","yesterday","NR","NR","&period;","SPER|IN","SPER","labour","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","working","VBG|NN|JJ","NN","number","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","of","IN|RB_1|IN_3","IN","leadership","NN","NN","lack","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","salaried","JJ","JJ","staffs","NNS","NNS","transport","NN|VB","NN"
"because","CS|IN_1","IN_1","of","IN|RB_1|IN_3","IN_2","and","CC|RB_1|RB_2","CC","patronage","NN","NN","class","NN|VB","NN"
"who","WPR|WP","WPR","is","BEZ|NC","BEZ","MP","NPT","NPT","for","IN|CS|IN_2","IN","labour","NN|VB","NN"
"politicians","NNS","NNS","&comma;","SCOM","SCOM","unionists","NNS","NNS","and","CC|RB_1|RB_2","CC","trade","NN|VB","NN"
"ft","NNU","NNU","of","IN|RB_1|IN_3","IN","five","CD","CD","miles","NNS","NNS","water","NN|VB","NN"
"travelling","VBG|NN|JJ","VBG","as","CS|IN|QL","IN","passengers","NNS","NNS","&period;","SPER|IN","SPER","deck","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","&comma;","SCOM","SCOM","a","AT|AP_1|RB_1","AP_1","crew","NN|VB","NN"
"explosion","NN","NN","took","VBD","VBD","in","IN|RP|RB_1","IN","a","AT|AP_1|RB_1","AT","place","NN|VB","NN"
"British","JNP|NNPS","JNP","India","NP","NP","navigation","NN","NN","Co","NNP|NPL","NNP","steam","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","O","NP|ZZ|NNU","NP","&period;","SPER|IN","SPER","<O>","<O>","<O>","line","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","insured","JJ|VBN","JJ","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","value","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","this","DT|QL","DT","was","BEDZ","BEDZ","taken","VBN","VBN","amount","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","pay","VB|NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","dispute","NN|VB","NN"
"reconsidered","VBD|VBN","VBD","their","PPG","PPG","for","IN|CS|IN_2","IN","roughly","RB","RB","claim","NN|VB","NN"
"<O>","<O>","<O>","teenage","JJB","JJB","row","NN|VB","NN","&period;","SPER|IN","SPER","ban","NN|VB","NN"
"teenage","JJB","JJB","ban","NN|VB","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","row","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","cinema","NN|FW","NN",":","SCOL|IN","SCOL","<O>","<O>","<O>","ban","NN|VB","NN"
"in","IN|RP|RB_1","IN","creating","VBG","VBG","&period;","SPER|IN","SPER","<O>","<O>","<O>","trouble","NN|VB","NN"
"is","BEZ|NC","BEZ","the","ATI|RB_2|NC","ATI","?","SQM","SQM","<O>","<O>","<O>","remedy","NN|VB","NN"
"giving","VBG|NN","VBG","a","AT|AP_1|RB_1","AT","in","IN|RP|RB_1","IN","Cirencester","NP","NP","lecture","NN|VB","NN"
"1959","CD|FW","CD","Fison","NP","NP","winner","NN","NN","&comma;","SCOM","SCOM","award","NN|VB","NN"
"improvements","NNS","NNS","to","TO|IN|IN_2","IN","or","CC|NC|FW","CC","home","NR","NR","farm","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","better","JJR|RBR|VB","JJR","&comma;","SCOM","SCOM","it","PP3|NC","PP3","land","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","&lsquo;","SQSO","SQSO","which","WDTR|WDT","WDTR","market","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","killer","NN","NN","from","IN|IN_2|RB_2","IN","the","ATI|RB_2|NC","ATI","dust","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","approved","VBN|JJ|VBD","JJ","standard","NN|JJ","NN","&comma;","SCOM","SCOM","dust","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","current","JJ|NN","JJ","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","issue","NN|VB","NN"
"mining","NN","NN","of","IN|RB_1|IN_3","IN","disease","NN","NN","&comma;","SCOM","SCOM","dust","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","kills","VBZ","VBZ","many","AP|AP_3|NC","AP","dust","NN|VB","NN"
"as","CS|IN|QL","IN","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","explosions","NNS","NNS","result","NN|VB","NN"
"died","VBD|VBN","VBD","from","IN|IN_2|RB_2","IN","in","IN|RP|RB_1","IN","1959","CD|FW","CD","dust","NN|VB","NN"
"some","DTI|PN_1|RB","DTI","coalfields","NNS","NNS","was","BEDZ","BEDZ","merely","RB","RB","dust","NN|VB","NN"
"not","XNOT","XNOT","an","AT","AT","&period;","SPER|IN","SPER","<O>","<O>","<O>","excuse","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","ultimate","JJ","JJ","&comma;","SCOM","SCOM","&lsquo;","SQSO","SQSO","aim","NN|VB","NN"
"to","TO|IN|IN_2","IN","an","AT","AT","not","XNOT","XNOT","to","TO|IN|IN_2","TO","excuse","NN|VB","NN"
"hindrance","NN","NN","to","TO|IN|IN_2","IN","&comma;","SCOM","SCOM","&rsquo;","SQSC","SQSC","progress","NN|VB","NN"
"urging","VBG|NN","VBG","a","AT|AP_1|RB_1","AT","for","IN|CS|IN_2","IN","improved","JJ|VBN|VBD","JJ","campaign","NN|VB","NN"
"their","PPG","PPG","own","AP|VB","AP","in","IN|RP|RB_1","IN","order","NN|TO_2|VB","NN","house","NN|VB","NN"
"<O>","<O>","<O>","&lsquo;","SQSO","SQSO","kills","VBZ","VBZ",";","SSEM","SSEM","dust","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","&amp;","CC","CC","gas","NN","NN","pop","NN|VB","NN"
"&comma;","SCOM","SCOM","soft","JJ|VB_1","JJ","&comma;","SCOM","SCOM","beer","NN","NN","drink","NN|VB","NN"
"light","NN|JJ|VB","NN","and","CC|RB_1|RB_2","CC","&comma;","SCOM","SCOM","match","NN|VB","NN","coke","NN|VB","NN"
"coke","NN|VB","NN","&comma;","SCOM","SCOM","&comma;","SCOM","SCOM","banking","NN","NN","match","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","Melbourne","NP","NP","announcing","VBG","VBG","it","PP3|NC","PP3","herald","NN|VB","NN"
"had","HVD|HVN","HVD","the","ATI|RB_2|NC","ATI","added","VBD|VBN|JJ","VBN","by","IN|RP|IN_1","IN","name","NN|VB","NN"
"Secretary","NPT","NPT","of","IN|RB_1|IN_3","IN","for","IN|CS|IN_2","IN","air","NN|FW","NN","state","NN|VB","NN"
"<O>","<O>","<O>","Australian","JNP|NNP","JNP","party","NN|NC","NN","leader","NN","NN","labour","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","Australian","JNP|NNP","JNP","party","NN|NC","NN","&apos;s","GENM|BEZ|HVZ","GENM","labour","NN|VB","NN"
"<O>","<O>","<O>","this","DT|QL","DT","was","BEDZ","BEDZ","supported","VBN|VBD","VBN","view","NN|VB","NN"
"Liverpool","NP","NP","brewing","NN|VBG","NN","&comma;","SCOM","SCOM","Bents","NPS","NPS","concern","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","exchange","NN|VB","NN","decided","VBD|VBN|JJ","VBD","stock","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","stock","NN|VB","NN","decided","VBD|VBN|JJ","VBD","yesterday","NR","NR","exchange","NN|VB","NN"
"because","CS|IN_1","IN_1","of","IN|RB_1|IN_3","IN_2","of","IN|RB_1|IN_3","IN","information","NN","NN","lack","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","against","IN|IN_2|RI","IN","colonialism","NN","NN","struggle","NN|VB","NN"
"she","PP3A","PP3A","wins","VBZ|NNS","VBZ","&period;","SPER|IN","SPER","<O>","<O>","<O>","release","NN|VB","NN"
"mental","JJ","JJ","health","NN","NN","tribunals","NNS","NNS","&period;","SPER|IN","SPER","review","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","new","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","act","NN|VB","NN"
"in","IN|RP|RB_1","IN","his","PPG|PPGG","PPG","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","return","NN|VB","NN"
"<O>","<O>","<O>","marriage","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","rate","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","marriage","NN","NN","for","IN|CS|IN_2","IN","1960","CD","CD","rate","NN|VB","NN"
"1960","CD","CD","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","stillbirths","NNS","NNS","rate","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","union","NN","NN","officials","NNS","NNS","trade","NN|VB","NN"
"have","HV","HV","urged","VBD|VBN","VBN","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","support","NN|VB","NN"
"Loch","NPL|NP","NPL","Polaris","NP","NP","marchers","NNS","NNS","when","WRB","WRB","protest","NN|VB","NN"
"in","IN|RP|RB_1","IN","our","PPG","PPG","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","land","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","first","OD|RB|RB_2","OD","union","NN","NN","branch","NN|VB","NN","trade","NN|VB","NN"
"trade","NN|VB","NN","union","NN","NN","for","IN|CS|IN_2","IN","college","NN","NN","branch","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","new","JJ","JJ","&comma;","SCOM","SCOM","said","VBD|VBN|JJ","VBD","branch","NN|VB","NN"
"to","TO|IN|IN_2","IN","some","DTI|PN_1|RB","DTI","of","IN|RB_1|IN_3","IN","negotiating","VBG|NN|JJ","VBG","form","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","started","VBD|VBN","VBD","on","IN|RP|RB_3","IN","trouble","NN|VB","NN"
"volt","NN","NN","transmission","NN","NN","and","CC|RB_1|RB_2","CC","an","AT","AT","line","NN|VB","NN"
